C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.67,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200804,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.64,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200805,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.81,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200806,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.9,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200807,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.12,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200808,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.15,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200809,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.66,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200810,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.71,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200811,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.58,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200812,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.5,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200901,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.73,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200902,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.52332,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200903,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,2.23356,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200904,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.470763,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200905,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.485434,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200906,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
